"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","251","Should update album successfully","","Thu Mar 05 14:31:35 UTC 2026","passed","Thu Mar 05 14:31:35 UTC 2026","","Albums API Tests","com.api.automation.tests.albums.AlbumsTest","testUpdateAlbum"
"","59","Should retrieve post with first valid boundary ID (1)","","Thu Mar 05 14:31:37 UTC 2026","passed","Thu Mar 05 14:31:37 UTC 2026","","Posts API Tests","com.api.automation.tests.posts.PostsTest","testFirstValidBoundary"
"","225","Should return 404 for album ID beyond maximum (101)","","Thu Mar 05 14:31:36 UTC 2026","passed","Thu Mar 05 14:31:36 UTC 2026","","Albums API Tests","com.api.automation.tests.albums.AlbumsTest","testBeyondMaxIdBoundary"
"","66","Should retrieve post with id 1","","Thu Mar 05 14:31:37 UTC 2026","passed","Thu Mar 05 14:31:37 UTC 2026","","Posts API Tests","com.api.automation.tests.posts.PostsTest","testGetPostById"
"","240","Should update todo successfully","","Thu Mar 05 14:31:39 UTC 2026","passed","Thu Mar 05 14:31:39 UTC 2026","","Todos API Tests","com.api.automation.tests.todos.TodosTest","testUpdateTodo"
"","41","Should validate GET /comments/1 against comment schema and headers","","Thu Mar 05 14:31:37 UTC 2026","passed","Thu Mar 05 14:31:37 UTC 2026","","Schema and Header Validation Tests","com.api.automation.tests.SchemaValidationTest","testCommentSchemaValidation"
"","86","Should delete todo successfully","","Thu Mar 05 14:31:39 UTC 2026","passed","Thu Mar 05 14:31:39 UTC 2026","","Todos API Tests","com.api.automation.tests.todos.TodosTest","testDeleteTodo"
"","105","Should retrieve all comments","","Thu Mar 05 14:31:40 UTC 2026","passed","Thu Mar 05 14:31:40 UTC 2026","","Comments API Tests","com.api.automation.tests.comments.CommentsTest","testGetAllComments"
"","590","[SHOULD FAIL] Expects wrong title in album response","","Thu Mar 05 14:31:34 UTC 2026","failed","Thu Mar 05 14:31:34 UTC 2026","","Albums API Tests","com.api.automation.tests.albums.AlbumsTest","testIntentionalFailureWrongTitle"
"","108","Should create a new user successfully","","Thu Mar 05 14:31:43 UTC 2026","passed","Thu Mar 05 14:31:43 UTC 2026","","Users API Tests","com.api.automation.tests.users.UsersTest","testCreateUser"
"","223","Should return 404 for invalid photo ID","","Thu Mar 05 14:31:41 UTC 2026","passed","Thu Mar 05 14:31:41 UTC 2026","","Photos API Tests","com.api.automation.tests.photos.PhotosTest","testGetPhotoWithInvalidId"
"","340","Should validate GET /photos/1 against photo schema and headers","","Thu Mar 05 14:31:36 UTC 2026","passed","Thu Mar 05 14:31:37 UTC 2026","","Schema and Header Validation Tests","com.api.automation.tests.SchemaValidationTest","testPhotoSchemaValidation"
